"","Year","Reservoir","Elevation"
"1",1935,"Lake Mead",845.027208993994
"2",1936,"Lake Mead",977.324481387978
"3",1937,"Lake Mead",1071.12498821918
"4",1938,"Lake Mead",1141.37660408219
"5",1939,"Lake Mead",1171.79731452055
"6",1940,"Lake Mead",1172.03344431694
"7",1941,"Lake Mead",1195.465372
"8",1942,"Lake Mead",1194.81453260274
"9",1943,"Lake Mead",1188.80101216438
"10",1944,"Lake Mead",1177.40600920765
"11",1945,"Lake Mead",1166.65802706849
"12",1946,"Lake Mead",1155.61172723288
"13",1947,"Lake Mead",1160.06687490411
"14",1948,"Lake Mead",1173.17928860656
"15",1949,"Lake Mead",1171.7213689863
"16",1950,"Lake Mead",1163.50081920548
"17",1951,"Lake Mead",1155.64879378082
"18",1952,"Lake Mead",1170.5474597541
"19",1953,"Lake Mead",1156.70213953425
"20",1954,"Lake Mead",1126.12402430137
"21",1955,"Lake Mead",1097.55342545205
"22",1956,"Lake Mead",1098.93524655738
"23",1957,"Lake Mead",1140.21750824658
"24",1958,"Lake Mead",1185.09421706849
"25",1959,"Lake Mead",1175.38101210959
"26",1960,"Lake Mead",1170.8853310929
"27",1961,"Lake Mead",1157.08638049315
"28",1962,"Lake Mead",1182.10983380822
"29",1963,"Lake Mead",1166.48413624658
"30",1963,"Lake Powell",3409.2999875
"31",1964,"Lake Mead",1110.50535325137
"32",1964,"Lake Powell",3453.47346352459
"33",1965,"Lake Mead",1111.21142419178
"34",1965,"Lake Powell",3511.64270983562
"35",1966,"Lake Mead",1130.93235591781
"36",1966,"Lake Powell",3534.94331043836
"37",1967,"Lake Mead",1130.60394290411
"38",1967,"Lake Powell",3521.67624747945
"39",1968,"Flaming Gorge",5986.99193580645
"40",1968,"Lake Mead",1135.33677650273
"41",1968,"Lake Powell",3534.77098204918
"42",1969,"Flaming Gorge",5980.80938865753
"43",1969,"Lake Mead",1143.64197315068
"44",1969,"Lake Powell",3563.80249153425
"45",1970,"Flaming Gorge",5975.66281208219
"46",1970,"Lake Mead",1151.73879136986
"47",1970,"Lake Powell",3587.02062610959
"48",1971,"Flaming Gorge",6003.32918882192
"49",1971,"Lake Mead",1152.02492967123
"50",1971,"Lake Powell",3610.15167564384
"51",1972,"Flaming Gorge",6022.28948819672
"52",1972,"Lake Mead",1158.52989054645
